ArraySize,ArrayType,SortType,N,Duration(µs)
1400,ReverseSorted,HybridSort,10,183
1400,AlmostSorted,HybridSort,10,200
1400,Random,HybridSort,20,231
1400,ReverseSorted,HybridSort,20,171
1400,AlmostSorted,HybridSort,20,149
1400,Random,HybridSort,50,190
1400,ReverseSorted,HybridSort,50,178
1400,AlmostSorted,HybridSort,50,80
1500,Random,MergeSort,-1,397
1500,ReverseSorted,MergeSort,-1,322
1500,AlmostSorted,MergeSort,-1,326
1500,Random,HybridSort,5,288
1500,ReverseSorted,HybridSort,5,231
1500,AlmostSorted,HybridSort,5,211
1500,Random,HybridSort,10,256
1500,ReverseSorted,HybridSort,10,188
1500,AlmostSorted,HybridSort,10,160
1500,Random,HybridSort,20,207
1500,ReverseSorted,HybridSort,20,159
1500,AlmostSorted,HybridSort,20,114
1500,Random,HybridSort,50,204
1500,ReverseSorted,HybridSort,50,199
1500,AlmostSorted,HybridSort,50,81
1600,Random,MergeSort,-1,407
1600,ReverseSorted,MergeSort,-1,361
1600,AlmostSorted,MergeSort,-1,341
1600,Random,HybridSort,5,309
1600,ReverseSorted,HybridSort,5,245
1600,AlmostSorted,HybridSort,5,220
1600,Random,HybridSort,10,298
1600,ReverseSorted,HybridSort,10,186
1600,AlmostSorted,HybridSort,10,168
1600,Random,HybridSort,20,221
1600,ReverseSorted,HybridSort,20,154
1600,AlmostSorted,HybridSort,20,141
1600,Random,HybridSort,50,210
1600,ReverseSorted,HybridSort,50,215
1600,AlmostSorted,HybridSort,50,98
1700,Random,MergeSort,-1,467
1700,ReverseSorted,MergeSort,-1,397
1700,AlmostSorted,MergeSort,-1,405
1700,Random,HybridSort,5,334
1700,ReverseSorted,HybridSort,5,250
1700,AlmostSorted,HybridSort,5,232
1700,Random,HybridSort,10,263
1700,ReverseSorted,HybridSort,10,241
1700,AlmostSorted,HybridSort,10,167
1700,Random,HybridSort,20,263
1700,ReverseSorted,HybridSort,20,156
1700,AlmostSorted,HybridSort,20,140
1700,Random,HybridSort,50,225
1700,ReverseSorted,HybridSort,50,197
1700,AlmostSorted,HybridSort,50,149
1800,Random,MergeSort,-1,483
1800,ReverseSorted,MergeSort,-1,427
1800,AlmostSorted,MergeSort,-1,476
1800,Random,HybridSort,5,348
1800,ReverseSorted,HybridSort,5,249
1800,AlmostSorted,HybridSort,5,272
1800,Random,HybridSort,10,300
1800,ReverseSorted,HybridSort,10,252
1800,AlmostSorted,HybridSort,10,199
1800,Random,HybridSort,20,253
1800,ReverseSorted,HybridSort,20,197
1800,AlmostSorted,HybridSort,20,137
1800,Random,HybridSort,50,242
1800,ReverseSorted,HybridSort,50,190
1800,AlmostSorted,HybridSort,50,109
1900,Random,MergeSort,-1,527
1900,ReverseSorted,MergeSort,-1,438
1900,AlmostSorted,MergeSort,-1,425
1900,Random,HybridSort,5,321
1900,ReverseSorted,HybridSort,5,243
1900,AlmostSorted,HybridSort,5,226
1900,Random,HybridSort,10,327
1900,ReverseSorted,HybridSort,10,207
1900,AlmostSorted,HybridSort,10,203
1900,Random,HybridSort,20,294
1900,ReverseSorted,HybridSort,20,222
1900,AlmostSorted,HybridSort,20,175
1900,Random,HybridSort,50,250
1900,ReverseSorted,HybridSort,50,237
1900,AlmostSorted,HybridSort,50,158
2000,Random,MergeSort,-1,538
2000,ReverseSorted,MergeSort,-1,519
2000,AlmostSorted,MergeSort,-1,452
2000,Random,HybridSort,5,398
2000,ReverseSorted,HybridSort,5,276
2000,AlmostSorted,HybridSort,5,234
2000,Random,HybridSort,10,314
2000,ReverseSorted,HybridSort,10,216
2000,AlmostSorted,HybridSort,10,203
2000,Random,HybridSort,20,259
2000,ReverseSorted,HybridSort,20,206
2000,AlmostSorted,HybridSort,20,150
2000,Random,HybridSort,50,273
2000,ReverseSorted,HybridSort,50,216
2000,AlmostSorted,HybridSort,50,130
2100,Random,MergeSort,-1,558
2100,ReverseSorted,MergeSort,-1,464
2100,AlmostSorted,MergeSort,-1,457
2100,Random,HybridSort,5,368
2100,ReverseSorted,HybridSort,5,262
2100,AlmostSorted,HybridSort,5,254
2100,Random,HybridSort,10,320
2100,ReverseSorted,HybridSort,10,233
2100,AlmostSorted,HybridSort,10,216
2100,Random,HybridSort,20,286
2100,ReverseSorted,HybridSort,20,216
2100,AlmostSorted,HybridSort,20,181
2100,Random,HybridSort,50,278
2100,ReverseSorted,HybridSort,50,251
2100,AlmostSorted,HybridSort,50,125
2200,Random,MergeSort,-1,595
2200,ReverseSorted,MergeSort,-1,489
2200,AlmostSorted,MergeSort,-1,461
2200,Random,HybridSort,5,407
2200,ReverseSorted,HybridSort,5,277
2200,AlmostSorted,HybridSort,5,253
2200,Random,HybridSort,10,326
2200,ReverseSorted,HybridSort,10,231
2200,AlmostSorted,HybridSort,10,199
2200,Random,HybridSort,20,318
2200,ReverseSorted,HybridSort,20,222
2200,AlmostSorted,HybridSort,20,174
2200,Random,HybridSort,50,287
2200,ReverseSorted,HybridSort,50,258
2200,AlmostSorted,HybridSort,50,132
2300,Random,MergeSort,-1,617
2300,ReverseSorted,MergeSort,-1,526
2300,AlmostSorted,MergeSort,-1,499
2300,Random,HybridSort,5,396
2300,ReverseSorted,HybridSort,5,279
2300,AlmostSorted,HybridSort,5,267
2300,Random,HybridSort,10,344
2300,ReverseSorted,HybridSort,10,251
2300,AlmostSorted,HybridSort,10,203
2300,Random,HybridSort,20,342
2300,ReverseSorted,HybridSort,20,228
2300,AlmostSorted,HybridSort,20,173
2300,Random,HybridSort,50,317
2300,ReverseSorted,HybridSort,50,271
2300,AlmostSorted,HybridSort,50,156
2400,Random,MergeSort,-1,639
2400,ReverseSorted,MergeSort,-1,537
2400,AlmostSorted,MergeSort,-1,514
2400,Random,HybridSort,5,405
2400,ReverseSorted,HybridSort,5,296
2400,AlmostSorted,HybridSort,5,282
2400,Random,HybridSort,10,354
2400,ReverseSorted,HybridSort,10,254
2400,AlmostSorted,HybridSort,10,204
2400,Random,HybridSort,20,354
2400,ReverseSorted,HybridSort,20,276
2400,AlmostSorted,HybridSort,20,168
2400,Random,HybridSort,50,337
2400,ReverseSorted,HybridSort,50,295
2400,AlmostSorted,HybridSort,50,177
2500,Random,MergeSort,-1,656
2500,ReverseSorted,MergeSort,-1,586
2500,AlmostSorted,MergeSort,-1,549
2500,Random,HybridSort,5,426
2500,ReverseSorted,HybridSort,5,327
2500,AlmostSorted,HybridSort,5,283
2500,Random,HybridSort,10,387
2500,ReverseSorted,HybridSort,10,265
2500,AlmostSorted,HybridSort,10,263
2500,Random,HybridSort,20,369
2500,ReverseSorted,HybridSort,20,288
2500,AlmostSorted,HybridSort,20,185
2500,Random,HybridSort,50,328
2500,ReverseSorted,HybridSort,50,341
2500,AlmostSorted,HybridSort,50,157
2600,Random,MergeSort,-1,706
2600,ReverseSorted,MergeSort,-1,573
2600,AlmostSorted,MergeSort,-1,538
2600,Random,HybridSort,5,442
2600,ReverseSorted,HybridSort,5,312
2600,AlmostSorted,HybridSort,5,298
2600,Random,HybridSort,10,390
2600,ReverseSorted,HybridSort,10,281
2600,AlmostSorted,HybridSort,10,245
2600,Random,HybridSort,20,364
2600,ReverseSorted,HybridSort,20,272
2600,AlmostSorted,HybridSort,20,194
2600,Random,HybridSort,50,347
2600,ReverseSorted,HybridSort,50,325
2600,AlmostSorted,HybridSort,50,155
2700,Random,MergeSort,-1,721
2700,ReverseSorted,MergeSort,-1,606
2700,AlmostSorted,MergeSort,-1,566
2700,Random,HybridSort,5,485
2700,ReverseSorted,HybridSort,5,355
2700,AlmostSorted,HybridSort,5,321
2700,Random,HybridSort,10,439
2700,ReverseSorted,HybridSort,10,301
2700,AlmostSorted,HybridSort,10,281
2700,Random,HybridSort,20,399
2700,ReverseSorted,HybridSort,20,290
2700,AlmostSorted,HybridSort,20,237
2700,Random,HybridSort,50,360
2700,ReverseSorted,HybridSort,50,348
2700,AlmostSorted,HybridSort,50,157
2800,Random,MergeSort,-1,780
