ArraySize,ArrayType,SortType,N,Duration(µs)
0500,Random,MergeSort,-1,123
0500,ReverseSorted,MergeSort,-1,130
0500,AlmostSorted,MergeSort,-1,105
0500,Random,HybridSort,5,75
0500,ReverseSorted,HybridSort,5,67
0500,AlmostSorted,HybridSort,5,54
0500,Random,HybridSort,10,90
0500,ReverseSorted,HybridSort,10,55
0500,AlmostSorted,HybridSort,10,58
0500,Random,HybridSort,20,67
0500,ReverseSorted,HybridSort,20,45
0500,AlmostSorted,HybridSort,20,43
0500,Random,HybridSort,50,62
0500,ReverseSorted,HybridSort,50,49
0500,AlmostSorted,HybridSort,50,23
0600,Random,MergeSort,-1,157
0600,ReverseSorted,MergeSort,-1,165
0600,AlmostSorted,MergeSort,-1,154
0600,Random,HybridSort,5,113
0600,ReverseSorted,HybridSort,5,66
0600,AlmostSorted,HybridSort,5,68
0600,Random,HybridSort,10,74
0600,ReverseSorted,HybridSort,10,57
0600,AlmostSorted,HybridSort,10,57
0600,Random,HybridSort,20,69
0600,ReverseSorted,HybridSort,20,55
0600,AlmostSorted,HybridSort,20,34
0600,Random,HybridSort,50,65
0600,ReverseSorted,HybridSort,50,74
0600,AlmostSorted,HybridSort,50,28
0700,Random,MergeSort,-1,176
0700,ReverseSorted,MergeSort,-1,166
0700,AlmostSorted,MergeSort,-1,148
0700,Random,HybridSort,5,123
0700,ReverseSorted,HybridSort,5,83
0700,AlmostSorted,HybridSort,5,88
0700,Random,HybridSort,10,103
0700,ReverseSorted,HybridSort,10,99
0700,AlmostSorted,HybridSort,10,91
0700,Random,HybridSort,20,113
0700,ReverseSorted,HybridSort,20,65
0700,AlmostSorted,HybridSort,20,53
0700,Random,HybridSort,50,79
0700,ReverseSorted,HybridSort,50,107
0700,AlmostSorted,HybridSort,50,32
0800,Random,MergeSort,-1,197
0800,ReverseSorted,MergeSort,-1,209
0800,AlmostSorted,MergeSort,-1,162
0800,Random,HybridSort,5,176
0800,ReverseSorted,HybridSort,5,135
0800,AlmostSorted,HybridSort,5,121
0800,Random,HybridSort,10,119
0800,ReverseSorted,HybridSort,10,84
0800,AlmostSorted,HybridSort,10,82
0800,Random,HybridSort,20,103
0800,ReverseSorted,HybridSort,20,76
0800,AlmostSorted,HybridSort,20,57
0800,Random,HybridSort,50,119
0800,ReverseSorted,HybridSort,50,103
0800,AlmostSorted,HybridSort,50,36
0900,Random,MergeSort,-1,221
0900,ReverseSorted,MergeSort,-1,197
0900,AlmostSorted,MergeSort,-1,179
0900,Random,HybridSort,5,183
0900,ReverseSorted,HybridSort,5,135
0900,AlmostSorted,HybridSort,5,139
0900,Random,HybridSort,10,153
0900,ReverseSorted,HybridSort,10,120
0900,AlmostSorted,HybridSort,10,80
0900,Random,HybridSort,20,113
0900,ReverseSorted,HybridSort,20,85
0900,AlmostSorted,HybridSort,20,64
0900,Random,HybridSort,50,130
0900,ReverseSorted,HybridSort,50,94
0900,AlmostSorted,HybridSort,50,62
1000,Random,MergeSort,-1,246
1000,ReverseSorted,MergeSort,-1,206
1000,AlmostSorted,MergeSort,-1,218
1000,Random,HybridSort,5,161
1000,ReverseSorted,HybridSort,5,115
1000,AlmostSorted,HybridSort,5,112
1000,Random,HybridSort,10,133
1000,ReverseSorted,HybridSort,10,112
1000,AlmostSorted,HybridSort,10,89
1000,Random,HybridSort,20,128
1000,ReverseSorted,HybridSort,20,97
1000,AlmostSorted,HybridSort,20,71
1000,Random,HybridSort,50,118
1000,ReverseSorted,HybridSort,50,107
1000,AlmostSorted,HybridSort,50,56
1100,Random,MergeSort,-1,277
1100,ReverseSorted,MergeSort,-1,231
1100,AlmostSorted,MergeSort,-1,213
1100,Random,HybridSort,5,195
1100,ReverseSorted,HybridSort,5,130
1100,AlmostSorted,HybridSort,5,123
1100,Random,HybridSort,10,155
1100,ReverseSorted,HybridSort,10,113
1100,AlmostSorted,HybridSort,10,108
1100,Random,HybridSort,20,141
1100,ReverseSorted,HybridSort,20,124
1100,AlmostSorted,HybridSort,20,74
1100,Random,HybridSort,50,143
1100,ReverseSorted,HybridSort,50,124
1100,AlmostSorted,HybridSort,50,61
1200,Random,MergeSort,-1,310
1200,ReverseSorted,MergeSort,-1,279
1200,AlmostSorted,MergeSort,-1,280
1200,Random,HybridSort,5,216
1200,ReverseSorted,HybridSort,5,165
1200,AlmostSorted,HybridSort,5,154
1200,Random,HybridSort,10,192
1200,ReverseSorted,HybridSort,10,150
1200,AlmostSorted,HybridSort,10,148
1200,Random,HybridSort,20,175
1200,ReverseSorted,HybridSort,20,145
1200,AlmostSorted,HybridSort,20,105
1200,Random,HybridSort,50,175
1200,ReverseSorted,HybridSort,50,141
1200,AlmostSorted,HybridSort,50,64
1300,Random,MergeSort,-1,342
1300,ReverseSorted,MergeSort,-1,293
1300,AlmostSorted,MergeSort,-1,311
1300,Random,HybridSort,5,224
1300,ReverseSorted,HybridSort,5,172
1300,AlmostSorted,HybridSort,5,133
1300,Random,HybridSort,10,176
1300,ReverseSorted,HybridSort,10,141
1300,AlmostSorted,HybridSort,10,113
1300,Random,HybridSort,20,175
1300,ReverseSorted,HybridSort,20,155
1300,AlmostSorted,HybridSort,20,95
1300,Random,HybridSort,50,174
1300,ReverseSorted,HybridSort,50,158
1300,AlmostSorted,HybridSort,50,97
1400,Random,MergeSort,-1,361
1400,ReverseSorted,MergeSort,-1,325
1400,AlmostSorted,MergeSort,-1,294
1400,Random,HybridSort,5,250
1400,ReverseSorted,HybridSort,5,186
1400,AlmostSorted,HybridSort,5,183
1400,Random,HybridSort,10,237
1400,ReverseSorted,HybridSort,10,172
1400,AlmostSorted,HybridSort,10,154
1400,Random,HybridSort,20,191
1400,ReverseSorted,HybridSort,20,171
1400,AlmostSorted,HybridSort,20,145
1400,Random,HybridSort,50,186
1400,ReverseSorted,HybridSort,50,201
1400,AlmostSorted,HybridSort,50,85
1500,Random,MergeSort,-1,399
1500,ReverseSorted,MergeSort,-1,331
1500,AlmostSorted,MergeSort,-1,326
1500,Random,HybridSort,5,270
1500,ReverseSorted,HybridSort,5,190
1500,AlmostSorted,HybridSort,5,224
1500,Random,HybridSort,10,235
