ArraySize,ArrayType,SortType,N,Duration(µs)
0500,Random,MergeSort,-1,121
0500,ReverseSorted,MergeSort,-1,142
0500,AlmostSorted,MergeSort,-1,97
0500,Random,HybridSort,5,102
0500,ReverseSorted,HybridSort,5,56
0500,AlmostSorted,HybridSort,5,76
0500,Random,HybridSort,10,65
0500,ReverseSorted,HybridSort,10,79
0500,AlmostSorted,HybridSort,10,37
0500,Random,HybridSort,20,55
0500,ReverseSorted,HybridSort,20,44
0500,AlmostSorted,HybridSort,20,28
0500,Random,HybridSort,50,53
0500,ReverseSorted,HybridSort,50,49
0500,AlmostSorted,HybridSort,50,22
0600,Random,MergeSort,-1,161
0600,ReverseSorted,MergeSort,-1,151
0600,AlmostSorted,MergeSort,-1,132
0600,Random,HybridSort,5,90
0600,ReverseSorted,HybridSort,5,75
0600,AlmostSorted,HybridSort,5,68
0600,Random,HybridSort,10,71
0600,ReverseSorted,HybridSort,10,55
0600,AlmostSorted,HybridSort,10,43
0600,Random,HybridSort,20,67
0600,ReverseSorted,HybridSort,20,54
0600,AlmostSorted,HybridSort,20,34
0600,Random,HybridSort,50,87
0600,ReverseSorted,HybridSort,50,67
0600,AlmostSorted,HybridSort,50,25
0700,Random,MergeSort,-1,175
0700,ReverseSorted,MergeSort,-1,161
0700,AlmostSorted,MergeSort,-1,148
0700,Random,HybridSort,5,115
0700,ReverseSorted,HybridSort,5,106
0700,AlmostSorted,HybridSort,5,102
0700,Random,HybridSort,10,126
0700,ReverseSorted,HybridSort,10,74
0700,AlmostSorted,HybridSort,10,90
0700,Random,HybridSort,20,112
0700,ReverseSorted,HybridSort,20,89
0700,AlmostSorted,HybridSort,20,49
0700,Random,HybridSort,50,88
0700,ReverseSorted,HybridSort,50,107
0700,AlmostSorted,HybridSort,50,30
0800,Random,MergeSort,-1,198
0800,ReverseSorted,MergeSort,-1,199
0800,AlmostSorted,MergeSort,-1,192
0800,Random,HybridSort,5,139
0800,ReverseSorted,HybridSort,5,126
0800,AlmostSorted,HybridSort,5,95
0800,Random,HybridSort,10,116
0800,ReverseSorted,HybridSort,10,92
0800,AlmostSorted,HybridSort,10,83
0800,Random,HybridSort,20,102
0800,ReverseSorted,HybridSort,20,74
0800,AlmostSorted,HybridSort,20,54
0800,Random,HybridSort,50,92
0800,ReverseSorted,HybridSort,50,113
0800,AlmostSorted,HybridSort,50,33
0900,Random,MergeSort,-1,239
0900,ReverseSorted,MergeSort,-1,193
0900,AlmostSorted,MergeSort,-1,196
0900,Random,HybridSort,5,179
0900,ReverseSorted,HybridSort,5,132
0900,AlmostSorted,HybridSort,5,104
0900,Random,HybridSort,10,129
0900,ReverseSorted,HybridSort,10,102
0900,AlmostSorted,HybridSort,10,88
0900,Random,HybridSort,20,112
0900,ReverseSorted,HybridSort,20,94
0900,AlmostSorted,HybridSort,20,61
0900,Random,HybridSort,50,104
0900,ReverseSorted,HybridSort,50,124
