ArraySize,ArrayType,SortType,N,Duration(µs)
0500,Random,MergeSort,-1,125
0500,ReverseSorted,MergeSort,-1,104
0500,AlmostSorted,MergeSort,-1,104
0500,Random,HybridSort,5,75
0500,ReverseSorted,HybridSort,5,56
0500,AlmostSorted,HybridSort,5,52
0500,Random,HybridSort,10,66
0500,ReverseSorted,HybridSort,10,47
0500,AlmostSorted,HybridSort,10,39
0500,Random,HybridSort,20,78
0500,ReverseSorted,HybridSort,20,44
0500,AlmostSorted,HybridSort,20,30
0500,Random,HybridSort,50,59
0500,ReverseSorted,HybridSort,50,57
0500,AlmostSorted,HybridSort,50,23
0600,Random,MergeSort,-1,140
0600,ReverseSorted,MergeSort,-1,153
0600,AlmostSorted,MergeSort,-1,134
0600,Random,HybridSort,5,90
0600,ReverseSorted,HybridSort,5,67
0600,AlmostSorted,HybridSort,5,58
0600,Random,HybridSort,10,76
0600,ReverseSorted,HybridSort,10,80
0600,AlmostSorted,HybridSort,10,43
0600,Random,HybridSort,20,69
0600,ReverseSorted,HybridSort,20,55
0600,AlmostSorted,HybridSort,20,34
0600,Random,HybridSort,50,64
0600,ReverseSorted,HybridSort,50,67
0600,AlmostSorted,HybridSort,50,26
0700,Random,MergeSort,-1,179
0700,ReverseSorted,MergeSort,-1,158
0700,AlmostSorted,MergeSort,-1,139
0700,Random,HybridSort,5,122
0700,ReverseSorted,HybridSort,5,85
0700,AlmostSorted,HybridSort,5,71
0700,Random,HybridSort,10,115
0700,ReverseSorted,HybridSort,10,89
0700,AlmostSorted,HybridSort,10,66
0700,Random,HybridSort,20,86
0700,ReverseSorted,HybridSort,20,64
0700,AlmostSorted,HybridSort,20,51
0700,Random,HybridSort,50,78
0700,ReverseSorted,HybridSort,50,106
0700,AlmostSorted,HybridSort,50,30
0800,Random,MergeSort,-1,196
0800,ReverseSorted,MergeSort,-1,176
0800,AlmostSorted,MergeSort,-1,160
0800,Random,HybridSort,5,159
0800,ReverseSorted,HybridSort,5,106
0800,AlmostSorted,HybridSort,5,89
0800,Random,HybridSort,10,114
0800,ReverseSorted,HybridSort,10,85
0800,AlmostSorted,HybridSort,10,66
0800,Random,HybridSort,20,122
0800,ReverseSorted,HybridSort,20,68
0800,AlmostSorted,HybridSort,20,56
0800,Random,HybridSort,50,96
0800,ReverseSorted,HybridSort,50,98
0800,AlmostSorted,HybridSort,50,34
0900,Random,MergeSort,-1,232
0900,ReverseSorted,MergeSort,-1,222
0900,AlmostSorted,MergeSort,-1,195
0900,Random,HybridSort,5,160
0900,ReverseSorted,HybridSort,5,116
0900,AlmostSorted,HybridSort,5,112
0900,Random,HybridSort,10,127
0900,ReverseSorted,HybridSort,10,125
0900,AlmostSorted,HybridSort,10,76
0900,Random,HybridSort,20,129
0900,ReverseSorted,HybridSort,20,89
0900,AlmostSorted,HybridSort,20,63
0900,Random,HybridSort,50,132
0900,ReverseSorted,HybridSort,50,93
0900,AlmostSorted,HybridSort,50,49
1000,Random,MergeSort,-1,252
1000,ReverseSorted,MergeSort,-1,227
1000,AlmostSorted,MergeSort,-1,210
1000,Random,HybridSort,5,166
1000,ReverseSorted,HybridSort,5,116
1000,AlmostSorted,HybridSort,5,107
1000,Random,HybridSort,10,142
1000,ReverseSorted,HybridSort,10,108
1000,AlmostSorted,HybridSort,10,86
1000,Random,HybridSort,20,113
1000,ReverseSorted,HybridSort,20,101
1000,AlmostSorted,HybridSort,20,68
1000,Random,HybridSort,50,127
1000,ReverseSorted,HybridSort,50,107
1000,AlmostSorted,HybridSort,50,54
1100,Random,MergeSort,-1,272
1100,ReverseSorted,MergeSort,-1,261
1100,AlmostSorted,MergeSort,-1,237
1100,Random,HybridSort,5,190
1100,ReverseSorted,HybridSort,5,178
1100,AlmostSorted,HybridSort,5,122
1100,Random,HybridSort,10,152
1100,ReverseSorted,HybridSort,10,128
1100,AlmostSorted,HybridSort,10,123
1100,Random,HybridSort,20,146
1100,ReverseSorted,HybridSort,20,109
1100,AlmostSorted,HybridSort,20,98
1100,Random,HybridSort,50,150
1100,ReverseSorted,HybridSort,50,124
1100,AlmostSorted,HybridSort,50,57
1200,Random,MergeSort,-1,305
1200,ReverseSorted,MergeSort,-1,292
1200,AlmostSorted,MergeSort,-1,249
1200,Random,HybridSort,5,194
1200,ReverseSorted,HybridSort,5,160
1200,AlmostSorted,HybridSort,5,125
1200,Random,HybridSort,10,159
1200,ReverseSorted,HybridSort,10,121
1200,AlmostSorted,HybridSort,10,96
1200,Random,HybridSort,20,160
1200,ReverseSorted,HybridSort,20,125
1200,AlmostSorted,HybridSort,20,118
1200,Random,HybridSort,50,146
1200,ReverseSorted,HybridSort,50,166
1200,AlmostSorted,HybridSort,50,63
1300,Random,MergeSort,-1,341
1300,ReverseSorted,MergeSort,-1,294
1300,AlmostSorted,MergeSort,-1,260
1300,Random,HybridSort,5,236
1300,ReverseSorted,HybridSort,5,142
1300,AlmostSorted,HybridSort,5,141
1300,Random,HybridSort,10,183
1300,ReverseSorted,HybridSort,10,130
1300,AlmostSorted,HybridSort,10,126
1300,Random,HybridSort,20,164
1300,ReverseSorted,HybridSort,20,142
1300,AlmostSorted,HybridSort,20,93
1300,Random,HybridSort,50,183
1300,ReverseSorted,HybridSort,50,159
1300,AlmostSorted,HybridSort,50,100
1400,Random,MergeSort,-1,355
1400,ReverseSorted,MergeSort,-1,295
1400,AlmostSorted,MergeSort,-1,306
1400,Random,HybridSort,5,226
1400,ReverseSorted,HybridSort,5,186
1400,AlmostSorted,HybridSort,5,180
1400,Random,HybridSort,10,225
1400,ReverseSorted,HybridSort,10,162
1400,AlmostSorted,HybridSort,10,142
1400,Random,HybridSort,20,193
1400,ReverseSorted,HybridSort,20,150
1400,AlmostSorted,HybridSort,20,112
1400,Random,HybridSort,50,214
1400,ReverseSorted,HybridSort,50,206
1400,AlmostSorted,HybridSort,50,75
1500,Random,MergeSort,-1,403
1500,ReverseSorted,MergeSort,-1,328
1500,AlmostSorted,MergeSort,-1,327
1500,Random,HybridSort,5,265
1500,ReverseSorted,HybridSort,5,221
1500,AlmostSorted,HybridSort,5,176
1500,Random,HybridSort,10,254
1500,ReverseSorted,HybridSort,10,175
1500,AlmostSorted,HybridSort,10,158
1500,Random,HybridSort,20,218
1500,ReverseSorted,HybridSort,20,150
1500,AlmostSorted,HybridSort,20,140
1500,Random,HybridSort,50,225
1500,ReverseSorted,HybridSort,50,195
1500,AlmostSorted,HybridSort,50,105
1600,Random,MergeSort,-1,428
1600,ReverseSorted,MergeSort,-1,371
1600,AlmostSorted,MergeSort,-1,352
1600,Random,HybridSort,5,282
1600,ReverseSorted,HybridSort,5,218
1600,AlmostSorted,HybridSort,5,201
1600,Random,HybridSort,10,280
1600,ReverseSorted,HybridSort,10,207
1600,AlmostSorted,HybridSort,10,164
1600,Random,HybridSort,20,232
1600,ReverseSorted,HybridSort,20,165
1600,AlmostSorted,HybridSort,20,134
1600,Random,HybridSort,50,210
1600,ReverseSorted,HybridSort,50,223
1600,AlmostSorted,HybridSort,50,80
1700,Random,MergeSort,-1,447
1700,ReverseSorted,MergeSort,-1,405
1700,AlmostSorted,MergeSort,-1,394
1700,Random,HybridSort,5,333
1700,ReverseSorted,HybridSort,5,243
1700,AlmostSorted,HybridSort,5,242
1700,Random,HybridSort,10,257
1700,ReverseSorted,HybridSort,10,190
