ArraySize,ArrayType,SortType,N,Duration(µs)
0500,Random,MergeSort,-1,116
0500,ReverseSorted,MergeSort,-1,105
0500,AlmostSorted,MergeSort,-1,130
0500,Random,HybridSort,5,77
0500,ReverseSorted,HybridSort,5,92
0500,AlmostSorted,HybridSort,5,81
0500,Random,HybridSort,10,73
0500,ReverseSorted,HybridSort,10,48
0500,AlmostSorted,HybridSort,10,39
0500,Random,HybridSort,20,56
0500,ReverseSorted,HybridSort,20,44
0500,AlmostSorted,HybridSort,20,29
0500,Random,HybridSort,50,59
0500,ReverseSorted,HybridSort,50,50
0500,AlmostSorted,HybridSort,50,22
0600,Random,MergeSort,-1,164
0600,ReverseSorted,MergeSort,-1,131
0600,AlmostSorted,MergeSort,-1,124
0600,Random,HybridSort,5,91
0600,ReverseSorted,HybridSort,5,66
0600,AlmostSorted,HybridSort,5,61
0600,Random,HybridSort,10,74
0600,ReverseSorted,HybridSort,10,56
0600,AlmostSorted,HybridSort,10,46
0600,Random,HybridSort,20,69
0600,ReverseSorted,HybridSort,20,55
0600,AlmostSorted,HybridSort,20,34
0600,Random,HybridSort,50,80
0600,ReverseSorted,HybridSort,50,66
0600,AlmostSorted,HybridSort,50,26
0700,Random,MergeSort,-1,183
0700,ReverseSorted,MergeSort,-1,146
0700,AlmostSorted,MergeSort,-1,137
0700,Random,HybridSort,5,125
0700,ReverseSorted,HybridSort,5,83
0700,AlmostSorted,HybridSort,5,93
0700,Random,HybridSort,10,103
0700,ReverseSorted,HybridSort,10,75
0700,AlmostSorted,HybridSort,10,66
0700,Random,HybridSort,20,87
0700,ReverseSorted,HybridSort,20,65
0700,AlmostSorted,HybridSort,20,51
0700,Random,HybridSort,50,79
0700,ReverseSorted,HybridSort,50,83
0700,AlmostSorted,HybridSort,50,31
0800,Random,MergeSort,-1,196
0800,ReverseSorted,MergeSort,-1,174
0800,AlmostSorted,MergeSort,-1,177
0800,Random,HybridSort,5,159
0800,ReverseSorted,HybridSort,5,125
0800,AlmostSorted,HybridSort,5,123
0800,Random,HybridSort,10,136
0800,ReverseSorted,HybridSort,10,90
0800,AlmostSorted,HybridSort,10,73
0800,Random,HybridSort,20,99
0800,ReverseSorted,HybridSort,20,88
0800,AlmostSorted,HybridSort,20,56
0800,Random,HybridSort,50,94
0800,ReverseSorted,HybridSort,50,111
0800,AlmostSorted,HybridSort,50,34
0900,Random,MergeSort,-1,221
0900,ReverseSorted,MergeSort,-1,197
0900,AlmostSorted,MergeSort,-1,208
0900,Random,HybridSort,5,196
0900,ReverseSorted,HybridSort,5,111
0900,AlmostSorted,HybridSort,5,96
0900,Random,HybridSort,10,133
0900,ReverseSorted,HybridSort,10,102
0900,AlmostSorted,HybridSort,10,78
0900,Random,HybridSort,20,125
0900,ReverseSorted,HybridSort,20,86
0900,AlmostSorted,HybridSort,20,75
0900,Random,HybridSort,50,116
0900,ReverseSorted,HybridSort,50,93
0900,AlmostSorted,HybridSort,50,81
1000,Random,MergeSort,-1,254
1000,ReverseSorted,MergeSort,-1,215
1000,AlmostSorted,MergeSort,-1,207
1000,Random,HybridSort,5,194
1000,ReverseSorted,HybridSort,5,115
1000,AlmostSorted,HybridSort,5,142
1000,Random,HybridSort,10,164
1000,ReverseSorted,HybridSort,10,125
1000,AlmostSorted,HybridSort,10,119
1000,Random,HybridSort,20,149
1000,ReverseSorted,HybridSort,20,120
1000,AlmostSorted,HybridSort,20,93
1000,Random,HybridSort,50,144
1000,ReverseSorted,HybridSort,50,153
1000,AlmostSorted,HybridSort,50,77
1100,Random,MergeSort,-1,288
1100,ReverseSorted,MergeSort,-1,235
1100,AlmostSorted,MergeSort,-1,270
1100,Random,HybridSort,5,199
1100,ReverseSorted,HybridSort,5,153
1100,AlmostSorted,HybridSort,5,142
1100,Random,HybridSort,10,186
1100,ReverseSorted,HybridSort,10,136
1100,AlmostSorted,HybridSort,10,98
1100,Random,HybridSort,20,152
1100,ReverseSorted,HybridSort,20,117
1100,AlmostSorted,HybridSort,20,75
1100,Random,HybridSort,50,153
1100,ReverseSorted,HybridSort,50,124
1100,AlmostSorted,HybridSort,50,70
1200,Random,MergeSort,-1,306
1200,ReverseSorted,MergeSort,-1,289
1200,AlmostSorted,MergeSort,-1,276
1200,Random,HybridSort,5,218
1200,ReverseSorted,HybridSort,5,130
1200,AlmostSorted,HybridSort,5,148
1200,Random,HybridSort,10,164
1200,ReverseSorted,HybridSort,10,153
1200,AlmostSorted,HybridSort,10,102
1200,Random,HybridSort,20,148
1200,ReverseSorted,HybridSort,20,120
1200,AlmostSorted,HybridSort,20,104
1200,Random,HybridSort,50,155
1200,ReverseSorted,HybridSort,50,140
1200,AlmostSorted,HybridSort,50,65
1300,Random,MergeSort,-1,330
1300,ReverseSorted,MergeSort,-1,325
1300,AlmostSorted,MergeSort,-1,353
1300,Random,HybridSort,5,215
1300,ReverseSorted,HybridSort,5,168
1300,AlmostSorted,HybridSort,5,138
1300,Random,HybridSort,10,187
1300,ReverseSorted,HybridSort,10,144
1300,AlmostSorted,HybridSort,10,115
1300,Random,HybridSort,20,166
1300,ReverseSorted,HybridSort,20,145
1300,AlmostSorted,HybridSort,20,95
1300,Random,HybridSort,50,160
1300,ReverseSorted,HybridSort,50,158
1300,AlmostSorted,HybridSort,50,72
1400,Random,MergeSort,-1,362
1400,ReverseSorted,MergeSort,-1,345
1400,AlmostSorted,MergeSort,-1,312
1400,Random,HybridSort,5,292
1400,ReverseSorted,HybridSort,5,198
1400,AlmostSorted,HybridSort,5,190
1400,Random,HybridSort,10,245
1400,ReverseSorted,HybridSort,10,156
1400,AlmostSorted,HybridSort,10,170
1400,Random,HybridSort,20,233
1400,ReverseSorted,HybridSort,20,178
1400,AlmostSorted,HybridSort,20,150
1400,Random,HybridSort,50,175
1400,ReverseSorted,HybridSort,50,186
1400,AlmostSorted,HybridSort,50,100
1500,Random,MergeSort,-1,382
1500,ReverseSorted,MergeSort,-1,314
1500,AlmostSorted,MergeSort,-1,320
1500,Random,HybridSort,5,272
1500,ReverseSorted,HybridSort,5,207
1500,AlmostSorted,HybridSort,5,222
1500,Random,HybridSort,10,235
1500,ReverseSorted,HybridSort,10,180
1500,AlmostSorted,HybridSort,10,149
1500,Random,HybridSort,20,216
1500,ReverseSorted,HybridSort,20,147
1500,AlmostSorted,HybridSort,20,121
1500,Random,HybridSort,50,192
1500,ReverseSorted,HybridSort,50,219
1500,AlmostSorted,HybridSort,50,80
1600,Random,MergeSort,-1,418
1600,ReverseSorted,MergeSort,-1,336
1600,AlmostSorted,MergeSort,-1,339
1600,Random,HybridSort,5,303
1600,ReverseSorted,HybridSort,5,217
1600,AlmostSorted,HybridSort,5,218
1600,Random,HybridSort,10,251
1600,ReverseSorted,HybridSort,10,184
1600,AlmostSorted,HybridSort,10,152
1600,Random,HybridSort,20,209
1600,ReverseSorted,HybridSort,20,177
1600,AlmostSorted,HybridSort,20,123
1600,Random,HybridSort,50,218
1600,ReverseSorted,HybridSort,50,250
1600,AlmostSorted,HybridSort,50,83
1700,Random,MergeSort,-1,454
1700,ReverseSorted,MergeSort,-1,413
1700,AlmostSorted,MergeSort,-1,367
1700,Random,HybridSort,5,305
1700,ReverseSorted,HybridSort,5,231
1700,AlmostSorted,HybridSort,5,223
1700,Random,HybridSort,10,262
1700,ReverseSorted,HybridSort,10,186
1700,AlmostSorted,HybridSort,10,158
1700,Random,HybridSort,20,249
1700,ReverseSorted,HybridSort,20,177
1700,AlmostSorted,HybridSort,20,135
1700,Random,HybridSort,50,248
1700,ReverseSorted,HybridSort,50,186
1700,AlmostSorted,HybridSort,50,110
1800,Random,MergeSort,-1,472
1800,ReverseSorted,MergeSort,-1,423
1800,AlmostSorted,MergeSort,-1,371
1800,Random,HybridSort,5,318
1800,ReverseSorted,HybridSort,5,233
1800,AlmostSorted,HybridSort,5,215
1800,Random,HybridSort,10,277
1800,ReverseSorted,HybridSort,10,220
1800,AlmostSorted,HybridSort,10,170
1800,Random,HybridSort,20,238
1800,ReverseSorted,HybridSort,20,214
1800,AlmostSorted,HybridSort,20,137
1800,Random,HybridSort,50,218
1800,ReverseSorted,HybridSort,50,233
1800,AlmostSorted,HybridSort,50,136
1900,Random,MergeSort,-1,513
1900,ReverseSorted,MergeSort,-1,413
1900,AlmostSorted,MergeSort,-1,404
1900,Random,HybridSort,5,363
1900,ReverseSorted,HybridSort,5,275
1900,AlmostSorted,HybridSort,5,276
1900,Random,HybridSort,10,337
1900,ReverseSorted,HybridSort,10,233
1900,AlmostSorted,HybridSort,10,220
1900,Random,HybridSort,20,277
1900,ReverseSorted,HybridSort,20,200
1900,AlmostSorted,HybridSort,20,171
1900,Random,HybridSort,50,251
1900,ReverseSorted,HybridSort,50,249
1900,AlmostSorted,HybridSort,50,146
2000,Random,MergeSort,-1,517
2000,ReverseSorted,MergeSort,-1,450
2000,AlmostSorted,MergeSort,-1,442
2000,Random,HybridSort,5,364
2000,ReverseSorted,HybridSort,5,273
2000,AlmostSorted,HybridSort,5,277
2000,Random,HybridSort,10,308
2000,ReverseSorted,HybridSort,10,250
2000,AlmostSorted,HybridSort,10,217
2000,Random,HybridSort,20,269
2000,ReverseSorted,HybridSort,20,207
2000,AlmostSorted,HybridSort,20,156
2000,Random,HybridSort,50,260
2000,ReverseSorted,HybridSort,50,258
2000,AlmostSorted,HybridSort,50,171
2100,Random,MergeSort,-1,577
2100,ReverseSorted,MergeSort,-1,466
2100,AlmostSorted,MergeSort,-1,455
2100,Random,HybridSort,5,396
2100,ReverseSorted,HybridSort,5,242
2100,AlmostSorted,HybridSort,5,285
2100,Random,HybridSort,10,342
2100,ReverseSorted,HybridSort,10,224
2100,AlmostSorted,HybridSort,10,213
2100,Random,HybridSort,20,294
2100,ReverseSorted,HybridSort,20,256
2100,AlmostSorted,HybridSort,20,196
2100,Random,HybridSort,50,295
2100,ReverseSorted,HybridSort,50,257
2100,AlmostSorted,HybridSort,50,137
2200,Random,MergeSort,-1,588
2200,ReverseSorted,MergeSort,-1,480
2200,AlmostSorted,MergeSort,-1,497
2200,Random,HybridSort,5,383
2200,ReverseSorted,HybridSort,5,304
2200,AlmostSorted,HybridSort,5,267
2200,Random,HybridSort,10,336
2200,ReverseSorted,HybridSort,10,245
2200,AlmostSorted,HybridSort,10,203
2200,Random,HybridSort,20,329
2200,ReverseSorted,HybridSort,20,230
2200,AlmostSorted,HybridSort,20,168
2200,Random,HybridSort,50,276
2200,ReverseSorted,HybridSort,50,246
2200,AlmostSorted,HybridSort,50,157
2300,Random,MergeSort,-1,621
2300,ReverseSorted,MergeSort,-1,509
2300,AlmostSorted,MergeSort,-1,472
2300,Random,HybridSort,5,411
2300,ReverseSorted,HybridSort,5,310
2300,AlmostSorted,HybridSort,5,278
2300,Random,HybridSort,10,355
2300,ReverseSorted,HybridSort,10,240
2300,AlmostSorted,HybridSort,10,216
2300,Random,HybridSort,20,333
2300,ReverseSorted,HybridSort,20,235
2300,AlmostSorted,HybridSort,20,188
2300,Random,HybridSort,50,305
2300,ReverseSorted,HybridSort,50,300
2300,AlmostSorted,HybridSort,50,178
2400,Random,MergeSort,-1,629
2400,ReverseSorted,MergeSort,-1,539
2400,AlmostSorted,MergeSort,-1,511
2400,Random,HybridSort,5,398
2400,ReverseSorted,HybridSort,5,298
2400,AlmostSorted,HybridSort,5,274
2400,Random,HybridSort,10,372
2400,ReverseSorted,HybridSort,10,269
2400,AlmostSorted,HybridSort,10,219
2400,Random,HybridSort,20,329
2400,ReverseSorted,HybridSort,20,258
2400,AlmostSorted,HybridSort,20,179
2400,Random,HybridSort,50,353
2400,ReverseSorted,HybridSort,50,318
2400,AlmostSorted,HybridSort,50,143
2500,Random,MergeSort,-1,689
2500,ReverseSorted,MergeSort,-1,591
2500,AlmostSorted,MergeSort,-1,560
2500,Random,HybridSort,5,413
2500,ReverseSorted,HybridSort,5,290
2500,AlmostSorted,HybridSort,5,272
2500,Random,HybridSort,10,366
2500,ReverseSorted,HybridSort,10,279
2500,AlmostSorted,HybridSort,10,223
2500,Random,HybridSort,20,333
2500,ReverseSorted,HybridSort,20,265
2500,AlmostSorted,HybridSort,20,217
2500,Random,HybridSort,50,338
2500,ReverseSorted,HybridSort,50,315
2500,AlmostSorted,HybridSort,50,151
2600,Random,MergeSort,-1,674
2600,ReverseSorted,MergeSort,-1,561
2600,AlmostSorted,MergeSort,-1,543
2600,Random,HybridSort,5,441
2600,ReverseSorted,HybridSort,5,332
2600,AlmostSorted,HybridSort,5,314
2600,Random,HybridSort,10,397
2600,ReverseSorted,HybridSort,10,284
2600,AlmostSorted,HybridSort,10,274
2600,Random,HybridSort,20,358
2600,ReverseSorted,HybridSort,20,293
2600,AlmostSorted,HybridSort,20,227
2600,Random,HybridSort,50,352
2600,ReverseSorted,HybridSort,50,352
2600,AlmostSorted,HybridSort,50,196
2700,Random,MergeSort,-1,724
2700,ReverseSorted,MergeSort,-1,607
2700,AlmostSorted,MergeSort,-1,606
2700,Random,HybridSort,5,485
2700,ReverseSorted,HybridSort,5,361
2700,AlmostSorted,HybridSort,5,322
2700,Random,HybridSort,10,462
2700,ReverseSorted,HybridSort,10,311
2700,AlmostSorted,HybridSort,10,287
2700,Random,HybridSort,20,403
2700,ReverseSorted,HybridSort,20,307
2700,AlmostSorted,HybridSort,20,269
2700,Random,HybridSort,50,393
2700,ReverseSorted,HybridSort,50,373
2700,AlmostSorted,HybridSort,50,163
2800,Random,MergeSort,-1,756
2800,ReverseSorted,MergeSort,-1,643
2800,AlmostSorted,MergeSort,-1,614
2800,Random,HybridSort,5,544
2800,ReverseSorted,HybridSort,5,387
2800,AlmostSorted,HybridSort,5,382
2800,Random,HybridSort,10,491
2800,ReverseSorted,HybridSort,10,334
2800,AlmostSorted,HybridSort,10,327
2800,Random,HybridSort,20,445
2800,ReverseSorted,HybridSort,20,320
2800,AlmostSorted,HybridSort,20,273
2800,Random,HybridSort,50,418
2800,ReverseSorted,HybridSort,50,385
2800,AlmostSorted,HybridSort,50,190
2900,Random,MergeSort,-1,801
2900,ReverseSorted,MergeSort,-1,642
2900,AlmostSorted,MergeSort,-1,657
2900,Random,HybridSort,5,582
2900,ReverseSorted,HybridSort,5,402
2900,AlmostSorted,HybridSort,5,385
2900,Random,HybridSort,10,528
2900,ReverseSorted,HybridSort,10,332
2900,AlmostSorted,HybridSort,10,333
2900,Random,HybridSort,20,511
2900,ReverseSorted,HybridSort,20,349
2900,AlmostSorted,HybridSort,20,275
2900,Random,HybridSort,50,422
2900,ReverseSorted,HybridSort,50,412
2900,AlmostSorted,HybridSort,50,204
3000,Random,MergeSort,-1,803
3000,ReverseSorted,MergeSort,-1,685
3000,AlmostSorted,MergeSort,-1,638
3000,Random,HybridSort,5,585
3000,ReverseSorted,HybridSort,5,432
3000,AlmostSorted,HybridSort,5,426
3000,Random,HybridSort,10,514
3000,ReverseSorted,HybridSort,10,350
3000,AlmostSorted,HybridSort,10,340
3000,Random,HybridSort,20,496
3000,ReverseSorted,HybridSort,20,314
